dataset,analysis_type,protein,n_ivs,ivw_beta,ivw_se,ivw_p,OR,OR_lo,OR_hi,wm_beta,wm_se,wm_p,egger_beta,egger_se,egger_p,egger_intercept,egger_intercept_p,Q,Q_df,Q_p,I2,direction_consistent,n_matched,outcome,ivw_p_fdr,ivw_p_bonf,seqid,discovery_OR,discovery_p,n_iv,method,egger_int_p,same_dir,replicates,beta,se
JCTF/Olink,proteome-wide,CCN3,3.0,-0.0098065475670471,0.0731687189410291,0.893381616724984,0.9902413798251812,0.8579433247966487,1.142940287518989,-0.0153537577591914,0.0437122734915253,0.7254038621171051,0.4674890858504518,0.4362141859775964,0.2838565078163209,0.0649905619132861,0.2727061047799135,0.3814284860975482,2.0,0.8263686950138742,0.0,False,3.0,BBJ_Glaucoma,0.9745981273363462,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,PDE5A,3.0,-0.0046873567161332,0.0872930147058295,0.9571767217309212,0.9953236117958908,0.8388011025318698,1.1810536362054636,-0.0339904762609737,0.0699987358976506,0.6272600144293119,-0.4912934645465148,0.0658085310536529,8.304468224196172e-14,0.0553273572939257,8.837375276016247e-14,0.5413567728297252,2.0,0.76286180367552,0.0,False,3.0,BBJ_Glaucoma,0.9853441561994496,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,CRELD2,3.0,-0.0025696889835563,0.0511237362607924,0.9599119255332078,0.997433609840924,0.9023324905374622,1.10255788910772,-0.0340256184718236,0.0490351831357602,0.4877435819887257,-0.0042821586327951,0.0529949176400951,0.9355984676078608,0.0012768324462112,0.9431071850600226,0.8585850156972892,2.0,0.650969487645204,0.0,True,3.0,BBJ_Glaucoma,0.9853441561994496,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,SFTPD,4.0,-0.0006569243433165,0.0160775794397716,0.9674077815038076,0.9993432913842384,0.968342937619828,1.0313360848063189,-0.0095746019452978,0.0066425575939718,0.149470884417755,-0.0826658385938362,0.0211467604850395,9.262180751612448e-05,-0.0448375502393279,7.06277470234884e-05,1.4704204721651684,3.0,0.68911390166989,0.0,True,4.0,BBJ_Glaucoma,0.9853441561994496,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,SHMT1,3.0,0.0011905283181151,0.0648103758475612,0.9853441561994496,1.001191237278271,0.8817578489527251,1.136801781570007,0.061939867024036,0.0954100271490622,0.5162112969229338,0.2605504018401899,0.1422228782613759,0.066953422649062,-0.0546605310760182,0.0518174018536286,2.777073809465328,2.0,0.2494399922523954,27.98174851589336,True,3.0,BBJ_Glaucoma,0.9853441561994496,1.0,,,,,,,,,,
HGVD/SomaScan,replication,C1S,,,,0.3890604734757228,0.9801654431190407,0.9364843583681572,1.0258839747829072,,,,,,,,,,,,,,,BBJ_Glaucoma,,,8840-61,0.931,8.34e-10,1.0,Wald,,True,dir-only,,
HGVD/SomaScan,replication,C1R,,,,0.3890604734757228,0.9429495657074972,0.824964322436381,1.077808893410087,,,,,,,,,,,,,,,BBJ_Glaucoma,,,3285-23,0.937,0.00237,1.0,Wald,,True,dir-only,,
HGVD/SomaScan,replication,PZP,,,,0.4669897501658027,1.0247293042653736,0.9594490538370768,1.0944511778094974,,,,,,,,,,,,,,,BBJ_Glaucoma,,,6580-29,1.069,0.0,3.0,IVW,0.7603217932091195,True,dir-only,,
MESA/SomaScan,lipid-protein targeted,ANGPTL3,,,,0.4231740392096286,1.071371483257442,0.90504830476442,1.268260322785786,,,,,,,,,,,,,,1060.0,BBJ_Glaucoma,,,,,,1.0,Wald,,,,0.0689395877743457,0.0860747699238142
MESA/SomaScan,lipid-protein targeted,ANGPTL1,,,,0.1713145723217288,1.0543429324467717,0.9773597015234832,1.1373898652335102,,,,,,,,,,,,,,580.0,BBJ_Glaucoma,,,,,,1.0,Wald,,,,0.0529177600528805,0.0386827986376627
MESA/SomaScan,lipid-protein targeted,APOB,,,,0.0229556609591856,1.0704663945162525,1.0094514806034969,1.1351692714379436,,,,,,,,,,,0.6992369180581892,,,99.0,BBJ_Glaucoma,,,,,,2.0,IVW,,,,0.0680944362300051,0.0299425211296976
MESA/SomaScan,lipid-protein targeted,APOE,,,,0.0933654177713101,0.8567562456446272,0.7151981033132992,1.026332789545343,,,,,,,,,,,,,,21.0,BBJ_Glaucoma,,,,,,1.0,Wald,,,,-0.1546018283273755,0.0921397340642025
MESA/SomaScan,lipid-protein targeted,LDLRAP1,,,,0.4005150391498737,0.8519544615754165,0.5863948292989233,1.2377776343390254,,,,,,,,,,,,,,62.0,BBJ_Glaucoma,,,,,,1.0,Wald,,,,-0.1602222024364071,0.1905815018955245
MESA/SomaScan,lipid-protein targeted,APOC1,,,,0.8657795690135945,1.0176881660564328,0.8304496079792194,1.2471427445808632,,,,,,,,,,,0.9960235012494232,,,2.0,BBJ_Glaucoma,,,,,,2.0,IVW,,,,0.0175335510224,0.1037354997540301
MESA/SomaScan,lipid-protein targeted,APOM,,,,0.666413821225099,1.021662584034859,0.9268051885074834,1.1262285198227042,,,,,,,,,,,,,,95.0,BBJ_Glaucoma,,,,,,1.0,Wald,,,,0.0214312846613718,0.0497159044886094
